"channelSeq","channelName","clipNo","title","synonym","vodid","playtime"
243,"BLACKPINK",81839,"BLACKPINK - LISA 'Forever Young' FOCUSED CAMERA","vlive,v live,BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,리사,LISA,BLACKPINKForeverYoung,블랙핑크ForeverYoung,BLACKPINK포레버영,블랙핑크포레버영,BLACKPINK포에버영,블랙핑크포에버영,ForeverYoung,포레버영,포에버영,Forever,Young,포레버,포에버,영,BLACKPINK포커스카메라,블랙핑크포커스카메라,BLACKPINK직캠,블랙핑크직캠,ForeverYoung포커스카메라,포레버영포커스카메라,포에버영포커스카메라,ForeverYoung직캡,포레버영직캡,포에버영직캠,리사포커스카메라,리사직캠,포커스카메라,포커스,카메라,직캠,","5C7A9B0401FAF785E71E1F1259EF8B10D12B",232
243,"BLACKPINK",40671,"🦋리챙 (끊켰도😢)🦋","블랙핑크,blackpink,블랙,핑크,black,pink,지수,jisoo,로제,rose,블핑,리사,lisa,","A9B5FB2342F3E1E930D61D496879EB567A69",103
243,"BLACKPINK",81538,"BLACKPINK - JENNIE 'Forever Young' FOCUSED CAMERA","vlive,v live,BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,제니,JENNIE,BLACKPINKForeverYoung,블랙핑크ForeverYoung,BLACKPINK포레버영,블랙핑크포레버영,BLACKPINK포에버영,블랙핑크포에버영,ForeverYoung,포레버영,포에버영,Forever,Young,포레버,포에버,영,BLACKPINK포커스카메라,블랙핑크포커스카메라,BLACKPINK직캠,블랙핑크직캠,ForeverYoung포커스카메라,포레버영포커스카메라,포에버영포커스카메라,ForeverYoung직캡,포레버영직캡,포에버영직캠,제니포커스카메라,제니직캠,포커스카메라,포커스,카메라,직캠,","C8C7C43A6EDE0DDED1B22780974B2E7A6B6B",232
243,"BLACKPINK",96214,"블링크 보고싶은 밤❣️","vlive,v live,블랙핑크,블랙,핑크,blackpink,black,pink,블핑,지수,Jisoo,지수눕방,눕방","45E393B0864C8CCFF07964038139B1DA06D8",2718
243,"BLACKPINK",35026,"[CH+ mini replay] 리사는뿌염즁 🙊 Lisa Is Getting Her Roots Done","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,지수,JISOO,제니,JENNIE,로제,ROSE,BLACKPINK채널플러스미니,BLACKPINK채널플러스,블랙핑크채널플러스미니,블랙핑크채널플러스,채널플러스미니,채널플러스,채널,플러스,미니,다시보기,다시,보기,리플레이,","E5F55EF91767088E7BD88880C6DFA2B1982A",164
243,"BLACKPINK",43063,"뇽 안 뇽 안","BLACKPINK,BLACK,PINK,블랙핑크,블랙,핑크,지수,Jisoo,리사,Lisa","5414042B540E9D9DA202FFFEFC9967F1F892",3700
243,"BLACKPINK",67891,"나랑놀쟈아😼","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,지수,JISU","754BE9F7E0FADB89E2C5F732316EB2FEFF83",2603
243,"BLACKPINK",37981,"BP at White Night 🌙🖤💖","BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,지수,JISOO,제니,JENNIE,로제,ROSE,리사,LISA,","EEEC1B44E88C7877B5CA3A72B38346A78258",662
243,"BLACKPINK",48121,"잠깐 젠득🖤","블랙핑크,blackpink,블랙,핑크,black,pink,블핑,제니,jenny","37A26EDBE1A447522AD34304CA058CC3AD52",1208
243,"BLACKPINK",38643,"연결상태가 불안정한 츄의 방송💋","블랙핑크,blackpink,블랙,핑크,black,pink,지수,jisoo,","B1DCFF98417BBD3665915B65962606A862DA",1204
